6.040492258931919e-33,  ((-2.1141942363467336e-18) + (((0.9999999999999996) * (np.sin((x[:,0])**(1)))) + ((3.885780586188048e-16) * (((x[:,0])**(1))))))
4.635253409610523e-31,  ((7.632783294297951e-17) + (((-2.3548871186385156e-16) * (np.sin((x[:,0])**(2)))) + ((1.0000000000000007) * (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1949455400153825e-30,  ((4.996003610813204e-16) + (((-1.1102230246251565e-16) * (np.exp((x[:,0])**(1)))) + (((5.551115123125783e-17) * (np.sin((x[:,0])**(2)))) + ((0.9999999999999992) * (np.sin((x[:,0])**(1)))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.0004779164808846,  ((-4.731323276959255e-3) + (((-1.9790284080604187e-3) * (np.exp((x[:,0])**(2)))) + ((-7.643381393092072e-3) * (np.sin((x[:,0])**(2))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
4.635253409610523e-31,  ((7.632783294297951e-17) + (((-2.3548871186385156e-16) * (np.sin((x[:,0])**(2)))) + ((1.0000000000000007) * (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
4.635253409610523e-31,  ((7.632783294297951e-17) + (((-2.3548871186385156e-16) * (np.sin((x[:,0])**(2)))) + ((1.0000000000000007) * (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
4.635253409610523e-31,  ((7.632783294297951e-17) + (((-2.3548871186385156e-16) * (np.sin((x[:,0])**(2)))) + ((1.0000000000000007) * (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.9232555026266918e-30,  ((9.357206849636146e-16) + (((4.9361556508920046e-15) * (((x[:,0])**(2)))) + (((-9.980623098815311e-16) * (np.exp((x[:,0])**(2)))) + (((-3.937388609598358e-15) * (np.sin((x[:,0])**(2)))) + ((1.0000000000000013) * (np.sin((x[:,0])**(1))))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
4.4222458156902685e-2,  ((-0.5116693638031748) + (((-6.393600179928562e-2) * (np.exp((x[:,0])**(2)))) + (((-0.31846242063743124) * (np.sin((x[:,0])**(2)))) + ((0.5967742326121108) * (np.exp((x[:,0])**(1)))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
8.374048868324663e-32,  ((-2.6020852139652106e-18) + (((-3.0466081046842675e-17) * (np.exp((x[:,0])**(2)))) + (((0.5000000000000002) * (np.sin((x[:,0])**(1)))) + ((0.5) * (np.sin((x[:,0])**(1)))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.0004779164808846,  ((-4.731323276959255e-3) + (((-1.9790284080604187e-3) * (np.exp((x[:,0])**(2)))) + ((-7.643381393092072e-3) * (np.sin((x[:,0])**(2))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
4.4222458156902685e-2,  ((-0.5116693638031748) + (((-6.393600179928562e-2) * (np.exp((x[:,0])**(2)))) + (((-0.31846242063743124) * (np.sin((x[:,0])**(2)))) + ((0.5967742326121108) * (np.exp((x[:,0])**(1)))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
8.076570633774773e-31,  ((-1.0408340855860843e-17) + (((3.903127820947816e-18) * (np.exp((x[:,0])**(2)))) + ((1.0000000000000009) * (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
1.1996856051821985e-32,  ((2.1494308069525125e-17) + (((2.8731357570865868e-18) * (np.exp((x[:,0])**(2)))) + (((-8.933825901280557e-17) * (np.sin((x[:,0])**(2)))) + (np.sin((x[:,0])**(1))))))
